zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,latitude,longitude,country,decommissioned,estimated_population,notes
1002,STANDARD,Amherst,"Cushman, Pelham",South Amherst,MA,Hampshire County,42.37,-72.52,US,0,16532,
1011,STANDARD,Chester,,,MA,Hampden County,42.28,-72.98,US,0,1012,
1022,STANDARD,Chicopee,Westover Afb,,MA,Hampden County,42.17,-72.57,US,0,1713,
1028,STANDARD,East Longmeadow,E Longmeadow,,MA,Hampden County,42.06,-72.51,US,0,14024,
1031,STANDARD,Gilbertville,,Old Furnace,MA,Worcester County,42.35,-72.21,US,0,932,
1040,STANDARD,Holyoke,,Halyoke,MA,Hampden County,42.21,-72.64,US,0,26316,
1053,STANDARD,Leeds,,,MA,Hampshire County,42.35,-72.71,US,0,1407,
1062,STANDARD,Florence,"Bay State Village, Bay State Vlg, Northampton",North Hampton,MA,Hampshire County,42.32,-72.67,US,0,9483,
1073,STANDARD,Southampton,,,MA,Hampshire County,42.23,-72.73,US,0,5385,
1088,STANDARD,West Hatfield,W Hatfield,,MA,Hampshire County,42.39,-72.64,US,0,458,
1095,STANDARD,Wilbraham,,,MA,Hampden County,42.13,-72.43,US,0,13107,
1106,STANDARD,Longmeadow,"Spfld, Springfield",,MA,Hampden County,42.04,-72.57,US,0,14332,
1119,STANDARD,Springfield,,Spfld,MA,Hampden County,42.11,-72.53,US,0,9915,
1128,STANDARD,Springfield,,Spfld,MA,Hampden County,42.11,-72.53,US,0,2510,
1151,STANDARD,Indian Orchard,"Indian Orch, Springfield",Spfld,MA,Hampden County,42.15,-72.51,US,0,6080,
1195,STANDARD,Springfield,Springfield Bmc,,MA,Hampden County,42.1,-72.58,US,1,0,Converted Decommisioned Zipcodes;  Historical ZipCodeType from various website
1201,STANDARD,Pittsfield,,Allendale,MA,Berkshire County,42.45,-73.26,US,0,36002,
1220,STANDARD,Adams,,,MA,Berkshire County,42.62,-73.11,US,0,6993,
1226,STANDARD,Dalton,,,MA,Berkshire County,42.47,-73.16,US,0,5793,
1230,STANDARD,Great Barrington,"Egremont, Gt Barrington, N Egremont, New Marlboro, New Marlborou, New Marlborough, North Egremont, Simons Rock","Alford, Berkshire Heights, Hartsville, Risingdale, Van Deusenville",MA,Berkshire County,42.19,-73.35,US,0,5873,
1235,STANDARD,Hinsdale,Peru,,MA,Berkshire County,42.42,-73.07,US,0,2476,
1238,STANDARD,Lee,,W Becket,MA,Berkshire County,42.3,-73.25,US,0,5056,
1240,STANDARD,Lenox,,,MA,Berkshire County,42.35,-73.28,US,0,4020,
1245,STANDARD,Monterey,West Otis,,MA,Berkshire County,42.18,-73.21,US,0,682,
1259,STANDARD,Southfield,,,MA,Berkshire County,42.07,-73.23,US,0,438,
1266,STANDARD,West Stockbridge,"Alford, W Stockbridge","Interlaken, West Stockbridge Center",MA,Berkshire County,42.31,-73.39,US,0,1182,
1270,STANDARD,Windsor,,East Windsor,MA,Berkshire County,42.51,-73.04,US,0,694,
1301,STANDARD,Greenfield,Leyden,,MA,Franklin County,42.58,-72.59,US,0,13381,
1330,STANDARD,Ashfield,,South Ashfield,MA,Franklin County,42.53,-72.78,US,0,1345,
1349,STANDARD,Millers Falls,,Turners Falls,MA,Franklin County,42.59,-72.55,US,0,697,
1351,STANDARD,Montague,,,MA,Franklin County,42.53,-72.53,US,0,2016,
1360,STANDARD,Northfield,,"N Field, No Field",MA,Franklin County,42.7,-72.43,US,0,2627,
1368,STANDARD,Royalston,S Royalston,Athol,MA,Worcester County,42.68,-72.18,US,0,1081,
1379,STANDARD,Wendell,,,MA,Franklin County,42.55,-72.4,US,0,625,
1380,STANDARD,Wendell Depot,,,MA,Franklin County,42.58,-72.37,US,0,0,
1420,STANDARD,Fitchburg,,,MA,Worcester County,42.58,-71.81,US,0,28652,
1430,STANDARD,Ashburnham,,South Ashburnham,MA,Worcester County,42.63,-71.9,US,0,5364,
1440,STANDARD,Gardner,,,MA,Worcester County,42.58,-71.98,US,0,15067,
1450,STANDARD,Groton,,,MA,Middlesex County,42.6,-71.57,US,0,9198,
1469,STANDARD,Townsend,,,MA,Middlesex County,42.66,-71.7,US,0,6266,
1473,STANDARD,Westminster,,,MA,Worcester County,42.55,-71.9,US,0,6741,
1501,STANDARD,Auburn,,,MA,Worcester County,42.2,-71.83,US,0,14232,
1510,STANDARD,Clinton,,,MA,Worcester County,42.41,-71.68,US,0,11365,
1529,STANDARD,Millville,,,MA,Worcester County,42.03,-71.58,US,0,2734,
1531,STANDARD,New Braintree,,,MA,Worcester County,42.31,-72.13,US,0,865,
1543,STANDARD,Rutland,,,MA,Worcester County,42.36,-71.95,US,0,6893,
1550,STANDARD,Southbridge,,"Globe Village, Sandersdale",MA,Worcester County,42.08,-72.03,US,0,13355,
1560,STANDARD,South Grafton,,Saundersville,MA,Worcester County,42.17,-71.68,US,0,3675,
1571,STANDARD,Dudley,,,MA,Worcester County,42.05,-71.93,US,0,9200,
1581,STANDARD,Westborough,,Westboro,MA,Worcester County,42.26,-71.61,US,0,16691,
1590,STANDARD,Sutton,"Wilkinsonvile, Wilkinsonville",,MA,Worcester County,42.15,-71.76,US,0,7702,
