A & W Health Care Educators|LA
A and B Training Academy|TX
A Better Tomorrow Services Health Training|MA
A Gathering Place Wellness Education Center|MO
A. T. Still University of Health Sciences|MO
ABC Adult School|CA
Abcott Institute|MI
Abdill Career College Inc|OR
Abilene Christian University|TX
Abraham Baldwin Agricultural College|GA
Abraham Lincoln University|CA
Absolute Safety Training Paramedic Program|CA
Acacia University|AZ
Academia Morales|PR
Academia Serrant Inc|PR
Academy College|MN
Academy de Firenze|ID
Academy Di Capelli, LLC|CT
Academy for Five Element Acupuncture|FL
Academy for Jewish Religion|CA
Academy for Practical Nursing and Health Occupations|FL
Academy for Salon Professionals - Canoga Park|CA
Academy of Aesthetic Arts|KS
Academy of Art University|CA
Academy of Career Training|FL
Academy of Careers and Technology|WV
Academy of Chinese Culture and Health Sciences|CA
Academy of Couture Art|CA
Academy of Interactive Entertainment|WA
Academy of Natural Therapy|CO
Academy of Professional Careers - Winter Park|FL
Academy of Radio and Television Broadcasting|AZ
Academy of Radio and Television Broadcasting|CA
Academy of Salon Professionals LLC|MO
Academy of Somatic Healing Arts (ASHA)|GA
Academy of Vocal Arts|PA
Academy Pacific Travel College|CA
Access Careers|NY
Access Careers - Hempstead|NY
Access International Business Institute|MI
ACE Computer Training Center|NY
Adams College of English|CA
Adams State University|CO
Adelphi University|NY
Adirondack Community College|NY
Adler Graduate School|MN
Adler School of Professional Psychology|IL
Adrian College|MI
Adrian Dominican Montessori Teacher Education Institute|MI
Adult and Community Education|FL
Adult Center for Education|OH
Adult Community Education Center|OH
Advance Science Institute|FL
Advance Tech College|PR
Advance Welding Institute|VT
Advanced Career Institute - Visalia|CA
Advanced College|CA
Advanced Computing Institute|CA
Advanced Technical Centers|FL
Advanced Technology Institute|VA
Advanced Training Associates|CA
Advanced Training Institute|NV
Advantage Career Institute|NJ
Adventist University of Health Sciences|FL
Advocate Trinity Hospital|IL
Aerobics and Fitness Association of America (AFAA) Distance Education Center|CA
Aerosim Flight Academy - Sanford|FL
Agape English Language Institute for Internationals|SC
Age of Montessori|MT
Agnes Scott College|GA
Aguadilla Technological College|PR
AIB College of Business|IA
Aiken Technical College|SC
AIMS Academy|TX
Aims Academy - Grand Prairie|TX
Aims Community College|CO
Air Force Institute of Technology|OH
Air University|AL
Airman's Proficiency Center|OR
Airstreams Renewables, Inc.|CA
Akron Machining Institute Inc|OH
Alabama A & M University|AL
Alabama Aviation College|AL
Alabama College of Osteopathic Medicine|AL
Alabama Southern Community College|AL
Alabama State University|AL
Alamance Community College|NC
Alaska Bible College - Palmer|AK
Alaska Career College|AK
Alaska Christian College|AK
Alaska Pacific University|AK
Alaska Vocational Technical Center|AK
Albany College of Pharmacy|NY
Albany Law School|NY
Albany Medical College|NY
Albany State University|GA
Albany Technical College|GA
Albany-Schoharie Career and Technical School|NY
Albertus Magnus College|CT
Albion College|MI
Albright College|PA
Alcorn State University|MS
Alderson Broaddus University|WV
Alegent Health School of Radiologic Technology|NE
Alexander Academy, Inc.|MA
Alexandria School of Scientific Therapeutics|IN
Alexandria Technical College|MN
Alfred University|NY
Alhambra Medical University|CA
Alice Lloyd College|KY
All American Career College|CA
All Saints Bible College|TN
All State Career School|PA
Allan Hancock College|CA
Allegany College of Maryland|MD
Allegheny College|PA
Allegheny Wesleyan College|OH
Allen College|IA
Allen County Community College|KS
Allen School - Jamaica|NY
Allen University|SC
Alliance Computing Solutions (ACS)|NY
Alliant International University|CA
Allied American University|CA
Allied Business Schools|CA
Allied Health Institute|FL
Allied Medical & Health Services|CA
Allied Schools|CA
All-State Career School|MD
All-State Career School|PA
Alma College|MI
Alpena Community College|MI
Alpine College|WA
ALPS Language School|WA
Altamaha Technical College|GA
Alvernia University|PA
Alverno College|WI
Alvin Community College|TX
Amarillo College|TX
Amberton University|TX
Ambria College of Nursing|IL
America Evangelical University|CA
American Academy McAllister Institute of Funeral Services|NY
American Academy of Acupuncture and Oriental Medicine|MN
American Academy of Art|IL
American Academy of Dramatic Arts|NY
American Academy of English|CA
American Advanced Technicians Institute|FL
American Baptist College|TN
American Baptist Seminary of the West|CA
American Broadcasting School|OK
American Business and Technology University|MO
American Career College - Los Angeles|CA
American Career College - Ontario|CA
American Christian College & Seminary|OK
American College|PA
American College of Acupuncture and Oriental Medicine|TX
American College of California|CA
American College of Education|IN
American College of Healthcare|CA
American College of Healthcare Sciences|OR
American College of Traditional Chinese Medicine|CA
American Comedy Institute|NY
American Commercial College|TX
American Commercial College of Texas|TX
American Conservatory Theater|CA
American Educational College - Bayamon|PR
American English College|CA
American Film Institute|CA
American Graduate University|CA
American Health Information Management Association|IL
American Health Institute|FL
American Indian College of the Assemblies of God|AZ
American Institute|CT
American Institute - Lauderdale Lakes|FL
American Institute for Paralegal|MI
American Institute of Alternative Medicine|OH
American Institute of Applied Science|NC
American Institute of Interior Design|AZ
American Institute of Medical Sciences and Education|NJ
American Institute of Medical Sonography|NV
American Institute of Medical Technology|OK
American Institute of Pharmaceutical Technology|NJ
American Institute of Technology|AZ
American Institute of Technology - Fontana|CA
American Institute of Technology - Gardena|CO
American Institute of Technology - NV|NV
American InterContinental University|IL
American International College|MA
American Jewish University|CA
American Medical Academy|FL
American Medical Sciences Center|CA
American Museum of Natural History - Richard Gilder Graduate School|NY
American Musical and Dramatic Academy - Los Angeles|CA
American Musical and Dramatic Academy - New York|NY
American National College|TX
American National University - Salem|VA
American Pacific College - Los Angeles|CA
American Pathways University|CO
American Professional Institute - Gainesville|GA
American Professional Institute - Macon|GA
American Public University System|WV
American River College|CA
American Samoa Community College|AS
American School of Business|LA
American School of Technology|OH
American Scientific Institute|CA
American Sentinel University - Aurora|CO
American Technological College - Ponce|PR
American Trade School|MO
American Truck School|CA
American University|DC
American University of Armenia|CA
American University of Health Sciences|CA
American University of Puerto Rico|PR
American Winds Flight Academy|OH
AmeriTech College - Provo|UT
AMG Medical Institute|NJ
Amherst College|MA
Amridge University|AL
Anabaptist Mennonite Biblical Seminary|IN
Anaheim University|CA
Anamarc College - Santa Teresa|NM
Ancilla College|IN
Anderson Medical Career College|CA
Anderson University|IN
Anderson University|SC
Andover Newton Theological School|MA
Andrew College|GA
Andrew Terranova and Associates, Inc. Dale Carnegie Training|NY
Andrews University|MI
Angeles College of Nursing|CA
Angeles Institute|CA
Angelina College|TX
Angelo State University|TX
Anna Maria College|MA
Anne Arundel Community College|MD
Annenberg School of Nursing|CA
Anoka Technical College|MN
Anoka-Ramsey Community College|MN
Antelope Valley College|CA
Anthem College - Bryman School|AZ
Anthem College - Maryland Heights|MO
Anthem College - Phoenix|AZ
Anthem Institute - Jersey City|NJ
