A & W Health Care Educators,6930 Martin Drive,New Orleans,LA,"""70126"""
A Gathering Place Wellness Education Center,"12131 Dorsett Road, #101",Maryland Heights,MO,"""63043"""
A-Technical College,1033 South Broadway Street,Los Angeles,CA,"""90015-4001"""
A. T. Still University of Health Sciences,800 W. Jefferson St.,Kirksville,MO,"""63501"""
Abcott Institute,"16250 Northland Drive, Suite 205",Southfield,MI,"""48075"""
Abdill Career College Inc,843 E Main Ste 203,Medford,OR,"""97504-7137"""
Abilene Christian University,1600 Campus Court,Abilene,TX,"""79699"""
Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,GA,"""31793-2601"""
Abraham Lincoln University,"3530 Wilshire Boulevard, Suite 1430",Los Angeles,CA,"""90010"""
Absolute Safety Training Paramedic Program,1133 W. Sycamore,Willows,CA,"""95988"""
Acacia University,7665 S. Research Drive,Tempe,AZ,"""85284"""
Academy College,1600 W. 82nd Street,Bloomington,MN,"""55431"""
Academy de Firenze,149 West Main Street,Jerome,ID,"""83338"""
"Academy Di Capelli, LLC","950 Yale Avenue, Yale Plaza Units 19 & 20",Wallingford,CT,"""06492"""
Academy for Five Element Acupuncture,305 SE 2nd Avenue,Gainesville,FL,"""32601"""
Academy for Jewish Religion,"UCLA, 574 Hilgard Avenue",Los Angeles,CA,"""90024"""
Academy for Practical Nursing and Health Occupations,5154 Okeechobee Blvd Ste 201,West Palm Beach,FL,"""33417"""
Academy for Salon Professionals - Canoga Park,8372 Topanga Canyon Boulevard,Canoga Park,CA,"""91304"""
Academy of Aesthetic Arts,10316 Shawnee Mission Pkwy,Shawnee,KS,"""66203"""
Academy of Art University,79 New Montgomery,San Francisco,CA,"""94105"""
Academy of Career Training,"3501 West Vine Street, Suite #111",Kissimmee,FL,
Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,"""94612"""
Academy of Couture Art,"8484 Wilshire Boulevard, Suite 730",Beverly Hills,CA,"""90211"""
Academy of Natural Therapy,625 8th Avenue,Greeley,CO,"""80631"""
Academy of Professional Careers - Winter Park,114 South Semoran Boulevard,Winter Park,FL,"""32792"""
Academy of Radio and Television Broadcasting,"16052 Beach Boulevard, Suite 263N",Huntington Beach,CA,"""92647"""
Academy of Salon Professionals LLC,2414 South Limit Avenue,Sedalia,MO,"""65301"""
Academy of Somatic Healing Arts (ASHA),6251 Smithpointe Drive,Norcross,GA,"""30092"""
Academy of Vocal Arts,1920 Spruce Street,Philadelphia,PA,"""19103"""
Academy Pacific Travel College,1777 N Vine St,Los Angeles,CA,"""90028-5218"""
Access Careers,"25 Elm Place, Suite #201",Brooklyn,NY,"""11201"""
Access Careers - Hempstead,"474 Fulton Avenue, Suite 201",Hempstead,NY,"""11550"""
Access International Business Institute,609 E. Liberty,Ann Arbor,MI,"""48104"""
ACE Computer Training Center,"109-19 72nd Road, Suite 4F",Forest Hills,NY,"""11375"""
Adams College of English,"3700 Wilshire Blvd, Suite 985",Los Angeles,CA,"""90010"""
Adams State University,208 Edgemont Blvd,Alamosa,CO,"""81102"""
